name,threshold,precision,recall,F1 Score,mAP
defectT,0.4054718613624573,0.7398141529664046,0.740343347639485,0.7400786557025385,0.6996931225251745
FLAll,0.5774791836738586,0.7985964912280702,0.8140200286123033,0.8062345023025151,0.7828539898476139
ForH,0.602773129940033,0.7245322245322245,0.7478540772532188,0.7360084477296727,0.7393121185724751
ForLL,0.44061845541000366,0.8032503457814661,0.830829756795422,0.8168073136427567,0.8080224641915701
forLong,0.3862479031085968,0.8103638368246968,0.7886266094420601,0.7993474714518759,0.7317504069082942
forLongBig2,0.4860425889492035,0.7935042735042735,0.8301144492131617,0.8113966089844433,0.8177763539196542
hDecross,0.6175739765167236,0.6701402805611223,0.597997138769671,0.6320166320166319,0.6196837372904389
HDynamic,0.48493891954421997,0.6134945397815913,0.5625894134477826,0.5869402985074628,0.5786510231683022
HDynamicBounds,0.5319477915763855,0.6580347641007449,0.663447782546495,0.6607301869991095,0.642724334054077
hGauss,0.4382983148097992,0.6510142749812171,0.6198140200286123,0.6350311469402712,0.6261994604208219
hSN,0.48283761739730835,0.6164565361645654,0.6645207439198856,0.6395869191049914,0.617355224319226
justDynamic,0.20518340170383453,0.3356437723167402,0.5715307582260372,0.4229191478099775,0.25997166009963896
justDynamicBoundaries,0.10129263252019882,0.4339752407152682,0.4513590844062947,0.4424964936886395,0.26991848563628434
justGauss,0.12158456444740295,0.2098747016706444,0.5032188841201717,0.2962105263157895,0.11603544160957165
justSmartNoise,0.6614938378334045,0.5289230769230769,0.6148068669527897,0.5686404234204433,0.5331259333261422
lAll,0.5927363634109497,0.7267596281540505,0.7829041487839771,0.7537878787878788,0.7491758953944161
largeBoxes,0.6356462836265564,0.6977960403436683,0.6680972818311874,0.6826237895121505,0.6096128977483094
longRun,0.41469183564186096,0.5417075564278705,0.592274678111588,0.5658636596617119,0.4274336346539602
model1000,0.49859076738357544,0.1079275343697803,0.30042918454935624,0.15880518007373098,0.055409791259993416
NoRanNumFull,0.36363381147384644,0.5991806077159441,0.6276824034334764,0.6131004366812227,0.5901186066761608
ranNumFull,0.5260109901428223,0.6802696948190206,0.6856223175965666,0.6829355183469897,0.6627951798675735
run1,0.4850010871887207,0.05403831596110173,0.3319027181688126,0.09294406329811207,0.028118102787395453
SNDynamic,0.658582329750061,0.724777183600713,0.727110157367668,0.7259417961078377,0.7252354957496614
SNDynamicBounds,0.5588293075561523,0.7560885608856088,0.7328326180257511,0.7442789683981111,0.7379658966188831
SNGauss,0.6714057922363281,0.6945880730782489,0.7206723891273248,0.7073898543092856,0.6934977819839163
